Date,Time,Open,High,Low,Close,Volume
2023.01.05,17:15,1.19125,1.19133,1.18927,1.18995,3394
2023.01.05,17:30,1.18994,1.1904,1.18878,1.1892,2974
2023.01.05,17:45,1.18923,1.18938,1.1873,1.18805,3050
2023.01.05,18:00,1.18806,1.18942,1.18778,1.18901,2820
2023.01.05,18:15,1.18899,1.19022,1.18827,1.19019,2269
2023.01.05,18:30,1.19015,1.19069,1.18947,1.19042,2417
2023.01.05,18:45,1.19036,1.19099,1.18969,1.19002,1859
2023.01.05,19:00,1.19003,1.19156,1.18998,1.19077,1681
2023.01.05,19:15,1.19077,1.19193,1.19,1.19138,1751
2023.01.05,19:30,1.1914,1.1914,1.19029,1.19083,1417
2023.01.05,19:45,1.19083,1.19122,1.1899,1.19069,1429
2023.01.05,20:00,1.1907,1.19074,1.19015,1.19022,1363
2023.01.05,20:15,1.19022,1.19239,1.18965,1.19159,2626
2023.01.05,20:30,1.19161,1.193,1.19142,1.19272,1704
2023.01.05,20:45,1.19273,1.19348,1.19261,1.19289,1211
2023.01.05,21:00,1.19291,1.19334,1.19198,1.19231,1452
2023.01.05,21:15,1.19233,1.19289,1.19214,1.1922,1628
2023.01.05,21:30,1.1922,1.19271,1.19177,1.19252,1100
2023.01.05,21:45,1.19251,1.19309,1.19168,1.19172,1304
2023.01.05,22:00,1.19171,1.19186,1.19108,1.19148,1014
2023.01.05,22:15,1.19147,1.19167,1.1908,1.19101,1168
2023.01.05,22:30,1.19104,1.19111,1.1906,1.1909,1478
2023.01.05,22:45,1.19092,1.19135,1.19068,1.19093,932
2023.01.05,23:00,1.19096,1.19117,1.19057,1.19081,533
2023.01.05,23:15,1.1908,1.19115,1.19077,1.191,358
2023.01.05,23:30,1.19101,1.19107,1.19077,1.19092,333
2023.01.05,23:45,1.19093,1.191,1.19059,1.19083,434
2023.01.06,00:00,1.19075,1.19077,1.19001,1.19002,5
2023.01.06,00:15,1.19001,1.19008,1.18964,1.19003,8
2023.01.06,00:30,1.19007,1.19075,1.19003,1.19064,183
2023.01.06,00:45,1.19066,1.19104,1.19066,1.191,108
2023.01.06,01:00,1.19108,1.19148,1.19082,1.19099,360
2023.01.06,01:15,1.19096,1.19129,1.19065,1.19092,930
2023.01.06,01:30,1.19091,1.19095,1.19051,1.1907,496
2023.01.06,01:45,1.19071,1.19099,1.1907,1.19075,303
2023.01.06,02:00,1.19075,1.19109,1.19063,1.19086,1259
2023.01.06,02:15,1.19083,1.19149,1.1908,1.19149,480
2023.01.06,02:30,1.19151,1.19219,1.19127,1.1921,1014
2023.01.06,02:45,1.19213,1.1924,1.19162,1.19236,499
2023.01.06,03:00,1.19236,1.19278,1.19181,1.19181,1527
